date,gdp_growth,leverage,trade_partners_macro,euro_area_fci,world_fci
2007-12-31,1.3713396995940763,2.084286262637461,2.4684100819012023,2.1241462304087397,-0.08191974669126507
2008-03-31,1.381335688198598,1.772527617910068,2.540935060161138,2.603110462050341,0.1806725196826172
2008-06-30,1.588690122100593,2.4576053106634896,2.1770304173219928,2.3545068650069845,-0.8119485528307568
2008-09-30,1.7900246742591808,1.6528099866965487,2.246464605596418,2.6889837600340414,-0.35668384957849697
2008-12-31,1.9855977398118847,2.000246983684337,2.1275575884217006,3.395030849571272,4.0333776993481205
2009-03-31,1.0588287458522039,0.45748700166976913,1.433505686076012,1.322499007346971,3.000625118981873
2009-06-30,1.7298378287779328,1.0353629051229978,1.7042069239046174,0.2743658477252829,1.6074940707118417
2009-09-30,1.3375572550624053,0.1656641716802378,1.3997741607047305,-0.4497086511556137,0.6543935136451228
2009-12-31,0.965641560748934,-0.43710720379201495,1.3976489536823145,-0.38797171017173127,0.2948922448433917
2010-03-31,1.57454831016184,-1.146316821958573,1.5200888429668626,-0.3986572527582385,-0.037236738151986776
2010-06-30,0.2074354998773041,0.3462142723925117,0.7960145478430046,0.04391628492562537,0.4869415629938884
2010-09-30,0.10955213283915435,-0.633113400111957,0.5202730994754435,0.024015962152078102,0.4426016101961391
2010-12-31,0.1935158071335261,-0.5582184007027124,0.2345417701646992,-0.07600907173568348,-0.23470147413439837
2011-03-31,0.41980165466629654,-1.6680311387736497,0.06520764981229434,-0.007502549526244441,-0.4839164681897269
2011-06-30,-0.12668973327602637,-0.563402403132015,0.10822435339355276,0.21022513206063506,-0.7503373934362286
2011-09-30,-0.3473000427003062,-0.9509041453087176,-0.011588359018828213,0.9172651323108393,0.6800661155276918
2011-12-31,-0.4134681998616253,-0.23954584200879975,-0.6438981400733007,0.7536433825759437,0.6211853673251803
2012-03-31,-1.18930511234058,-1.8850932811721333,-0.8298016342080539,-0.203456893546696,-0.6751988547285106
2012-06-30,-0.3663064513563775,-0.4835240740126733,-1.1773346537438065,-0.0610440976814716,-0.3382358261106356
2012-09-30,-0.4584102914820713,-0.9327779956697135,-1.2911107914253366,-0.46296726836934604,-0.6807012698208449
2012-12-31,-1.0029851112343184,-0.41038534911970576,-1.1128527768880736,-0.626738337672269,-0.5561549635402294
2013-03-31,-0.7028591165238246,-1.5617309754894346,-1.4110023085108865,-0.7513466393716515,-0.9754454594685954
2013-06-30,-0.9076677502133402,-0.10670257608106701,-1.3839573328320651,-0.7195565610931722,-0.8491562209386863
2013-09-30,-1.4205069388363598,-0.47940824517548636,-1.2715726135299614,-0.8041405842562633,-1.1152546649225918
2013-12-31,-1.220064509001171,0.13104156098164646,-1.3344155864358955,-0.9628792371393048,-0.9735337491868118
2014-03-31,-1.1773271217138193,-0.9708353351326225,-1.1259647555133876,-0.7896257014548053,-0.9377767770373817
2014-06-30,-1.425348251265164,0.6703727435977609,-1.0329716523735555,-0.8885612293389491,-1.213778160099149
2014-09-30,-0.5315817406829398,-0.15369939208751146,-0.9209938784077039,-0.9474302867242816,-1.0976456661364697
2014-12-31,-0.8163878811790962,0.06368376253511437,-1.0180967806817844,-0.7384574076834167,-0.3672838487657203
2015-03-31,-0.8564918829729743,-1.4016406732713629,-0.9697022032337651,-0.6821127989391225,0.14694142891685288
2015-06-30,-0.7501731241760935,0.5111525511229994,-0.8256769259476057,-0.6764831133583387,-0.3083526915793616
2015-09-30,-0.9038839394280611,0.019271618601607973,-0.8876572340507173,-0.5406101814061499,0.41543152455001325
2015-12-31,-0.584207219255304,0.20286598244636364,-0.5613040947276844,-0.6434820193010821,0.33712173595767586
2016-03-31,-0.3425576640061398,-0.8322964863658785,-0.6555406989059877,-0.507627193758391,0.8083752995899964
2016-06-30,-0.1435374335592196,0.39599709179137377,-0.6589206077858656,-0.7161164179522337,0.07949634845018443
2016-09-30,-0.256543113369686,0.022962298852627447,-0.40380479187623003,-0.8415821956584981,-0.08463694938529832
2016-12-31,0.008088142059341323,0.6432113392978783,-0.6519552227387183,-0.9090692731496478,-0.11438421129789617
2017-03-31,0.035982526331174436,-0.272974103896607,-0.4506789032611464,-0.9561625869606304,-0.39299221766248554
2017-06-30,0.1858252409597586,1.0549443815813753,-0.10908179525714404,-0.9624096560057034,-0.35234040702849556
2017-09-30,0.3480460019045479,0.37417009370447657,-0.06372716283549221,-1.068890441447287,-0.39579453245780966
2017-12-31,0.2606633903568533,0.8817891506279251,0.04946394494646628,-1.1240116261911635,-0.5881194582521881
2018-03-31,0.32654864422463065,0.1628194482166912,0.1503311108102266,-0.97096272690139,-0.0531361727374742
2018-06-30,0.3396215057152767,1.7269913990738441,0.23583670121676525,-1.0024894472878692,-0.3273235234045738
